emotion,path
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a07Ta.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a07Tb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08a07Wc.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b01Aa.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b01Fd.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b01Fe.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b01Lb.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b01Na.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b01Wa.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b02Ff.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b02La.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b02Nb.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b02Tc.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b02Wd.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b03Fe.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b03Lc.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b03Nb.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b03Tc.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b03Wd.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b09Ab.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b09Fd.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b09Lc.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b09Nb.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b09Tb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b09Wa.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b09Wc.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b10Aa.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b10Fd.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b10La.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b10Nc.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b10Tc.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/08b10Wa.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a01Ea.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a01Fa.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a01Nb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a01Wb.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a02Ea.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a02Eb.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a02La.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a02Wb.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a04Fd.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a04La.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a04Nb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a04Wa.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a05Ed.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a05Lc.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a05Nb.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a05Tb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a05Wb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a05Wc.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a07Eb.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a07Na.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a07Ta.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a07Wb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09a07Wd.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b01Ea.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b01Na.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b01Wb.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b02Na.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b02Tb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b02Wc.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b02Wd.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b03Ed.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b03Fa.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b03Fd.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b03Lb.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b03Nb.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b03Ta.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b03Wb.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b09Ea.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b09Nd.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b09Wa.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b10Aa.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b10Nd.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/09b10Wa.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a01Ac.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a01Nb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a01Wa.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a02Ab.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a02Fa.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a02Lb.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a02Na.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a02Wa.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a04Fd.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a04Nb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a04Wa.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a04Wb.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a05Aa.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a05Ld.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a05Tb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a05Wb.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a07Aa.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a07Ad.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a07La.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a07Ta.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10a07Wb.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b01Aa.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b01Ea.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b01Fa.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b01Lb.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b02Aa.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b02La.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b02Na.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b02Wb.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b03La.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b03Tb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b03Wb.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b09Ad.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b09Lb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b09Wb.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b10Fc.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b10Lc.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/10b10Wa.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a01Aa.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a01Ab.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a01Ld.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a01Nd.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a01Wc.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a02Ec.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a02Fb.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a02Ld.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a02Nc.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a02Tc.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a02Wc.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a04Ac.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a04Fd.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a04Nd.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a04Wc.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a05Ad.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a05Fb.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a05Fc.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a05Lc.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a05Na.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a05Td.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a05Wd.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a07Ac.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a07Ld.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a07Ta.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11a07Wc.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b01Ab.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b01Eb.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b01Fc.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b01Lb.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b01Nc.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b01Wd.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b02Ab.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b02Fd.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b02Na.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b02Td.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b02Wb.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b03Fc.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b03Lc.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b03Nb.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b03Td.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b03Wa.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b03Wb.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b09Ad.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b09Fd.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b09Ld.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b09Na.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b09Td.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b09Wa.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b10Ad.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b10Ae.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b10Ld.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b10Nc.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b10Td.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/11b10Wa.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a01Fb.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a01Lb.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a01Nb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a01Wc.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a02Ac.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a02Ec.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a02Nb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a02Wa.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a02Wc.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a04Wc.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a05Ab.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a05Lb.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a05Nd.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a05Ta.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a05Wb.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a07Ac.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a07La.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12a07Wa.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b01Ta.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b01Wa.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b02Ad.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b02Ea.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b02Fb.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b02Na.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b02Wa.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b02Wb.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b02Wd.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b03La.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b03Ta.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b09Ac.wav
sad,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b09Td.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b09Wc.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b10Ac.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b10Ld.wav
angry,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/12b10Wa.wav
fear,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/13a01Ac.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/13a01Ea.wav
disgust,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/13a01Ec.wav
happy,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/13a01Fd.wav
boredom,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/13a01Lb.wav
neutral,D:/speech_recognition/berlin/berlin-database-of-emotional-speech-emodb/wav/13a01Nb.wav
